year,county,State,industry,GreatLakeConsumption,GroundwaterConsumption,InlandConsumption,AllConsumption,Industry Rank
2013,Alcona,Michigan,Livestock,0,18614400,259200000,277814400,1
2013,Alcona,Michigan,Electric Power Generation,0,170426550,0,170426550,2
2013,Alcona,Michigan,Irrigation,0,32403270,12701370,45104640,3
2013,Alcona,Michigan,Public Water Supply,0,29730510,0,29730510,4
2013,Alcona,Michigan,Commercial-Institutional,0,0,0,0,5
2013,Alcona,Michigan,Industrial-Manufacturing,0,0,0,0,5
2013,Alcona,Michigan,Other,0,0,0,0,5
2013,Alger,Michigan,Industrial-Manufacturing,1604120000,103710210,0,1707830210,1
2013,Alger,Michigan,Public Water Supply,0,163406799,0,163406799,2
2013,Alger,Michigan,Irrigation,0,11800000,0,11800000,3
2013,Alger,Michigan,Commercial-Institutional,0,1532500,0,1532500,4
2013,Alger,Michigan,Electric Power Generation,0,0,0,0,5
2013,Alger,Michigan,Livestock,0,0,0,0,5
2013,Alger,Michigan,Other,0,0,0,0,5
2013,Allegan,Michigan,Irrigation,0,3093834368,3256487433,6350321801,1
2013,Allegan,Michigan,Public Water Supply,0,1486750276,0,1486750276,2
2013,Allegan,Michigan,Industrial-Manufacturing,0,726581001,270165050,996746051,3
2013,Allegan,Michigan,Livestock,0,122049995,2988024,125038019,4
2013,Allegan,Michigan,Commercial-Institutional,0,1399173,2553120,3952293,5
2013,Allegan,Michigan,Electric Power Generation,0,1795132,0,1795132,6
2013,Allegan,Michigan,Other,0,11200,0,11200,7
2013,Alpena,Michigan,Electric Power Generation,40839120000,0,632370000,41471490000,1
2013,Alpena,Michigan,Industrial-Manufacturing,0,0,1077600000,1077600000,2
2013,Alpena,Michigan,Public Water Supply,722360000,1418397,0,723778397,3
2013,Alpena,Michigan,Irrigation,0,13472000,89593500,103065500,4
2013,Alpena,Michigan,Commercial-Institutional,0,0,0,0,5
2013,Alpena,Michigan,Livestock,0,0,0,0,5
2013,Alpena,Michigan,Other,0,0,0,0,5
